County Name,Facility_Name,Full_Address,State,Total
MOBILE,USA HEALTH UNIVERSITY HOSPITAL,"2451 FILLINGIM STREET,MOBILE,MOBILE,AL",AL,249341
WALKER,WALKER BAPTIST MEDICAL CENTER,"3400 HIGHWAY 78 EAST,JASPER,WALKER,AL",AL,183152
MOBILE,PROVIDENCE HOSPITAL,"6801 AIRPORT BOULEVARD,MOBILE,MOBILE,AL",AL,249341
TUSCALOOSA,D C H REGIONAL MEDICAL CENTER,"809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,TUSCALOOSA,AL",AL,109192
HALE,HALE COUNTY HOSPITAL,"508 GREEN STREET,GREENSBORO,HALE,AL",AL,36552
ELMORE,ELMORE COMMUNITY HOSPITAL,"500 HOSPITAL DRIVE,WETUMPKA,ELMORE,AL",AL,50510
ESCAMBIA,D W MCMILLAN MEMORIAL HOSPITAL,"1301 BELLEVILLE AVENUE,BREWTON,ESCAMBIA,AL",AL,156137
BALDWIN,THOMAS HOSPITAL,"750 MORPHY AVENUE,FAIRHOPE,BALDWIN,AL",AL,85302
TALLADEGA,CITIZENS BAPTIST MEDICAL CENTER,"604 STONE AVENUE,TALLADEGA,TALLADEGA,AL",AL,17289
WILCOX,J PAUL JONES HOSPITAL,"317 MCWILLIAMS AVENUE,CAMDEN,WILCOX,AL",AL,27260
JEFFERSON,PRINCETON BAPTIST MEDICAL CENTER,"701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,JEFFERSON,AL",AL,1068891
JEFFERSON,GRANDVIEW MEDICAL CENTER,"3690 GRANDVIEW PARKWAY,BIRMINGHAM,JEFFERSON,AL",AL,1068891
AUTAUGA,PRATTVILLE BAPTIST HOSPITAL,"124 S MEMORIAL DR,PRATTVILLE,AUTAUGA,AL",AL,29365
PICKENS,PICKENS COUNTY MEDICAL CENTER,"241 ROBERT K WILSON DRIVE,CARROLLTON,PICKENS,AL",AL,57712
BULLOCK,BULLOCK COUNTY HOSPITAL,"102 WEST CONECUH AVENUE,UNION SPRINGS,BULLOCK,AL",AL,18771
MARENGO,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,"105 HIGHWAY 80 EAST,DEMOPOLIS,MARENGO,AL",AL,17630
MOBILE,MOBILE INFIRMARY MEDICAL CENTER,"5 MOBILE INFIRMARY CIRCLE,MOBILE,MOBILE,AL",AL,249341
JEFFERSON,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST,BESSEMER,JEFFERSON,AL",AL,1068891
DALLAS,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,"1015 MEDICAL CENTER PARKWAY,SELMA,DALLAS,AL",AL,1465084
MONROE,MONROE COUNTY HOSPITAL,"2016 SOUTH ALABAMA AVENUE,MONROEVILLE,MONROE,AL",AL,587834
WINSTON,LAKELAND COMMUNITY HOSPITAL,"42024 HIGHWAY 195 E,HALEYVILLE,WINSTON,AL",AL,25785
PIKE,TROY REGIONAL MEDICAL CENTER,"1330 HIGHWAY 231 SOUTH,TROY,PIKE,AL",AL,111489
BALDWIN,NORTH BALDWIN INFIRMARY,"1815 HAND AVENUE,BAY MINETTE,BALDWIN,AL",AL,85302
ST. CLAIR,ST VINCENT'S ST CLAIR,"7063 VETERANS PARKWAY,PELL CITY,ST. CLAIR,AL",AL,189468
MADISON,CRESTWOOD MEDICAL CENTER,"ONE HOSPITAL DR SE,HUNTSVILLE,MADISON,AL",AL,412934
SUMTER,HILL HOSPITAL OF SUMTER COUNTY,"751 DERBY DRIVE,YORK,SUMTER,AL",AL,161683
JEFFERSON,BROOKWOOD BAPTIST MEDICAL CENTER,"2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,JEFFERSON,AL",AL,1068891
MOBILE,SPRINGHILL MEDICAL CENTER,"3719 DAUPHIN STREET,MOBILE,MOBILE,AL",AL,249341
MONTGOMERY,BAPTIST MEDICAL CENTER EAST,"400 TAYLOR ROAD,MONTGOMERY,MONTGOMERY,AL",AL,2265179
BUTLER,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,"29 L V STABLER DRIVE,GREENVILLE,BUTLER,AL",AL,192297
FRANKLIN,RUSSELLVILLE HOSPITAL,"15155 HIGHWAY 43,RUSSELLVILLE,FRANKLIN,AL",AL,987750
TALLADEGA,COOSA VALLEY MEDICAL CENTER,"315 W HICKORY ST,SYLACAUGA,TALLADEGA,AL",AL,17289
RUSSELL,JACK HUGHSTON MEMORIAL HOSPITAL,"4401 RIVER CHASE DRIVE,PHENIX CITY,RUSSELL,AL",AL,31212
ESCAMBIA,ATMORE COMMUNITY HOSPITAL,"401 MEDICAL PARK DRIVE,ATMORE,ESCAMBIA,AL",AL,156137
WASHINGTON,WASHINGTON COUNTY HOSPITAL,"14600 ST. STEPHENS AVENUE,CHATOM,WASHINGTON,AL",AL,711487
FRANKLIN,RED BAY HOSPITAL,"211 HOSPITAL ROAD,RED BAY,FRANKLIN,AL",AL,987750
BLOUNT,ST VINCENTS BLOUNT,"150 GILBREATH DRIVE,ONEONTA,BLOUNT,AL",AL,26173
RANDOLPH,TANNER MEDICAL CENTER-EAST ALABAMA,"1032 MAIN STREET SOUTH,WEDOWEE,RANDOLPH,AL",AL,146788
JEFFERSON,THE CHILDREN'S HOSPITAL OF ALABAMA,"1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,JEFFERSON,AL",AL,1068891
MOBILE,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,"1700 CENTER STREET,MOBILE,MOBILE,AL",AL,249341
JEFFERSON,HILL CREST BEHAVIORAL HEALTH SERVICES,"6869 FIFTH AVENUE SOUTH,BIRMINGHAM,JEFFERSON,AL",AL,1068891
ETOWAH,MOUNTAIN VIEW HOSPITAL,"3201 SCENIC HIGHWAY,GADSDEN,ETOWAH,AL",AL,39381
TUSCALOOSA,BRYCE HOSPITAL,"200 UNIVERSITY BLVD,TUSCALOOSA,TUSCALOOSA,AL",AL,109192
TUSCALOOSA,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,"201 UNIVERSITY BLVD,TUSCALOOSA,TUSCALOOSA,AL",AL,109192
MOBILE,BAYPOINTE BEHAVIORAL HEALTH,"5800 SOUTHLAND DRIVE,MOBILE,MOBILE,AL",AL,249341
BALDWIN,EASTPOINTE HOSPITAL,"7400 ROPER LANE,DAPHNE,BALDWIN,AL",AL,85302
MADISON,UNITY PSYCHIATRIC CARE - HUNTSVILLE,"5315 MILLENIUM DRIVE, NW,HUNTSVILLE,MADISON,AL",AL,412934
JUNEAU,BARTLETT REGIONAL HOSPITAL,"3260 HOSPITAL DR,JUNEAU,JUNEAU,AK",AK,2757
WRANGELL CITY AND BOROUGH,SEARHC WRANGELL MEDICAL CENTER-CAH,"310 BENNETT STREET PO BOX 1081,WRANGELL,WRANGELL CITY AND BOROUGH,AK",AK,115
KODIAK ISLAND BOROUGH,PROVIDENCE KODIAK ISLAND MEDICAL CTR,"1915 EAST REZANOF DRIVE,KODIAK,KODIAK ISLAND BOROUGH,AK",AK,184
MARICOPA,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,"1111 EAST MCDOWELL ROAD,PHOENIX,MARICOPA,AZ",AZ,2527030
PIMA,TUCSON MEDICAL CENTER,"5301 EAST GRANT ROAD,TUCSON,PIMA,AZ",AZ,439782
YAVAPAI,VERDE VALLEY MEDICAL CENTER,"269 SOUTH CANDY LANE,COTTONWOOD,YAVAPAI,AZ",AZ,43648
PIMA,ST. MARY'S HOSPITAL,"1601 WEST ST MARY'S ROAD,TUCSON,PIMA,AZ",AZ,439782
PIMA,ST JOSEPH'S HOSPITAL,"350 NORTH WILMOT ROAD,TUCSON,PIMA,AZ",AZ,439782
YAVAPAI,YAVAPAI REGIONAL MEDICAL CENTER,"1003 WILLOW CREEK ROAD,PRESCOTT,YAVAPAI,AZ",AZ,43648
YUMA,YUMA REGIONAL MEDICAL CENTER,"2400 SOUTH AVENUE A,YUMA,YUMA,AZ",AZ,281722
MARICOPA,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,"250 EAST DUNLAP AVENUE,PHOENIX,MARICOPA,AZ",AZ,2527030
PINAL,BANNER CASA GRANDE MEDICAL CENTER,"1800 EAST FLORENCE BOULEVARD,CASA GRANDE,PINAL,AZ",AZ,190774
MARICOPA,VALLEYWISE HEALTH MEDICAL CENTER,"2601 EAST ROOSEVELT STREET,PHOENIX,MARICOPA,AZ",AZ,2527030
MARICOPA,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,"350 WEST THOMAS ROAD,PHOENIX,MARICOPA,AZ",AZ,2527030
MARICOPA,ABRAZO CENTRAL CAMPUS,"2000 WEST BETHANY HOME ROAD,PHOENIX,MARICOPA,AZ",AZ,2527030
MARICOPA,CHANDLER REGIONAL MEDICAL CENTER,"1955 WEST FRYE ROAD,CHANDLER,MARICOPA,AZ",AZ,2527030
MARICOPA,ST LUKE'S MEDICAL CENTER,"1800 EAST VAN BUREN STREET,PHOENIX,MARICOPA,AZ",AZ,2527030
MARICOPA,SCOTTSDALE OSBORN MEDICAL CENTER,"7400 EAST OSBORN ROAD,SCOTTSDALE,MARICOPA,AZ",AZ,2527030
MOHAVE,KINGMAN REGIONAL MEDICAL CENTER,"3269 STOCKTON HILL ROAD,KINGMAN,MOHAVE,AZ",AZ,63590
MARICOPA,BANNER BOSWELL MEDICAL CENTER,"10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,MARICOPA,AZ",AZ,2527030
NAVAJO,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,"2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,NAVAJO,AZ",AZ,217590
PIMA,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,"1625 NORTH CAMPBELL AVENUE,TUCSON,PIMA,AZ",AZ,439782
MARICOPA,BANNER DESERT MEDICAL CENTER,"1400 SOUTH  DOBSON ROAD,MESA,MARICOPA,AZ",AZ,2527030
GRAHAM,MT. GRAHAM REGIONAL MEDICAL CENTER,"1600 SOUTH 20TH AVENUE,SAFFORD,GRAHAM,AZ",AZ,6885
MOHAVE,HAVASU REGIONAL MEDICAL CENTER,"101 CIVIC CENTER LANE,LAKE HAVASU CITY,MOHAVE,AZ",AZ,63590
APACHE,FORT DEFIANCE INDIAN HOSPITAL,"PO BOX 649,FORT DEFIANCE,APACHE,AZ",AZ,143965
PIMA,SELLS HOSPITAL,"HIGHWAY 86, AT TOPAWA ROAD,SELLS,PIMA,AZ",AZ,439782
GILA,SAN CARLOS APACHE HEALTHCARE CORP,"103 MEDICINE WAY ROAD,PERIDOT,GILA,AZ",AZ,12890
MARICOPA,PHOENIX INDIAN MEDICAL CENTER,"4212 NORTH 16TH STREET,PHOENIX,MARICOPA,AZ",AZ,2527030
MARICOPA,ABRAZO SCOTTSDALE CAMPUS,"3929 EAST BELL ROAD,PHOENIX,MARICOPA,AZ",AZ,2527030
APACHE,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD,CHINLE,APACHE,AZ",AZ,143965
PIMA,NORTHWEST MEDICAL CENTER,"6200 NORTH LA CHOLLA BOULEVARD,TUCSON,PIMA,AZ",AZ,439782
MARICOPA,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,"9003 EAST SHEA BOULEVARD,SCOTTSDALE,MARICOPA,AZ",AZ,2527030
MARICOPA,BANNER BAYWOOD MEDICAL CENTER,"6644 EAST BAYWOOD AVENUE,MESA,MARICOPA,AZ",AZ,2527030
MARICOPA,BANNER THUNDERBIRD MEDICAL CENTER,"5555 WEST THUNDERBIRD ROAD,GLENDALE,MARICOPA,AZ",AZ,2527030
MARICOPA,HONORHEALTH DEER VALLEY MEDICAL CENTER,"19829 NORTH 27TH AVENUE,PHOENIX,MARICOPA,AZ",AZ,2527030
MARICOPA,BANNER DEL E. WEBB MEDICAL CENTER,"14502 WEST MEEKER BOULEVARD,SUN CITY WEST,MARICOPA,AZ",AZ,2527030
MARICOPA,ARROWHEAD HOSPITAL,"18701 NORTH 67TH AVENUE,GLENDALE,MARICOPA,AZ",AZ,2527030
MOHAVE,WESTERN ARIZONA REGIONAL MEDICAL CENTER,"2735 SILVER CREEK ROAD,BULLHEAD CITY,MOHAVE,AZ",AZ,63590
MARICOPA,MAYO CLINIC HOSPITAL,"5777 EAST MAYO BOULEVARD,PHOENIX,MARICOPA,AZ",AZ,2527030
MARICOPA,BANNER HEART HOSPITAL,"6750 EAST BAYWOOD AVENUE,MESA,MARICOPA,AZ",AZ,2527030
MARICOPA,ARIZONA SPINE AND JOINT HOSPITAL,"4620 EAST BASELINE ROAD,MESA,MARICOPA,AZ",AZ,2527030
MARICOPA,"CORE INSTITUTE SPECIALTY HOSPITAL, THE","6501 NORTH 19TH AVENUE,PHOENIX,MARICOPA,AZ",AZ,2527030
MARICOPA,ABRAZO WEST CAMPUS,"13677 WEST MCDOWELL ROAD,GOODYEAR,MARICOPA,AZ",AZ,2527030
PIMA,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,"2800 EAST AJO WAY,TUCSON,PIMA,AZ",AZ,439782
MARICOPA,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,"2905 WEST WARNER ROAD, SUITE 1,CHANDLER,MARICOPA,AZ",AZ,2527030
NAVAJO,WHITERIVER PHS INDIAN HOSPITAL,"200 WEST HOSPITAL DRIVE  (PO BOX 860),WHITERIVER,NAVAJO,AZ",AZ,217590
PIMA,ORO VALLEY HOSPITAL,"1551 EAST TANGERINE ROAD,ORO VALLEY,PIMA,AZ",AZ,439782
MARICOPA,BANNER ESTRELLA MEDICAL CENTER,"9201 WEST THOMAS ROAD,PHOENIX,MARICOPA,AZ",AZ,2527030
MOHAVE,VALLEY VIEW MEDICAL CENTER,"5330 SOUTH HIGHWAY 95,FORT MOHAVE,MOHAVE,AZ",AZ,63590
MARICOPA,MERCY GILBERT MEDICAL CENTER,"3555 SOUTH VAL VISTA DRIVE,GILBERT,MARICOPA,AZ",AZ,2527030
MARICOPA,"MOUNTAIN VISTA MEDICAL CENTER, LP","1301 SOUTH CRISMON ROAD,MESA,MARICOPA,AZ",AZ,2527030
MARICOPA,BANNER GATEWAY MEDICAL CENTER,"1900 NORTH HIGLEY ROAD,GILBERT,MARICOPA,AZ",AZ,2527030
MARICOPA,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,"7400 EAST THOMPSON PEAK PARKWAY,SCOTTSDALE,MARICOPA,AZ",AZ,2527030
PINAL,BANNER IRONWOOD MEDICAL CENTER,"37000 NORTH GANTZEL ROAD,QUEEN CREEK,PINAL,AZ",AZ,190774
MARICOPA,O.A.S.I.S. HOSPITAL,"750 NORTH 40TH STREET,PHOENIX,MARICOPA,AZ",AZ,2527030
PINAL,BANNER GOLDFIELD MEDICAL CENTER,"2050 WEST SOUTHERN AVENUE,APACHE JUNCTION,PINAL,AZ",AZ,190774
MARICOPA,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,"7171 SOUTH 51ST AVENUE,LAVEEN,MARICOPA,AZ",AZ,2527030
PIMA,SANTA CRUZ VALLEY REGIONAL HOSPITAL,"4455 SOUTH I-19 FRONTAGE ROAD,GREEN VALLEY,PIMA,AZ",AZ,439782
MARICOPA,WESTERN REGIONAL MEDICAL CENTER,"14200 WEST CELEBRATE LIFE WAY,GOODYEAR,MARICOPA,AZ",AZ,2527030
MARICOPA,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,"9130 EAST ELLIOT ROAD,MESA,MARICOPA,AZ",AZ,2527030
MARICOPA,WICKENBURG COMMUNITY HOSPITAL,"520 ROSE LANE,WICKENBURG,MARICOPA,AZ",AZ,2527030
NAVAJO,HOPI HEALTH CARE CENTER,"HIGHWAY 264, MILEPOST 388,POLACCA,NAVAJO,AZ",AZ,217590
PINAL,HUHU KAM MEMORIAL HOSPITAL,"483 WEST SEED FARM ROAD,SACATON,PINAL,AZ",AZ,190774
APACHE,SAGE MEMORIAL HOSPITAL,"STATE ROUTE 264 SOUTH 191,GANADO,APACHE,AZ",AZ,143965
NAVAJO,LITTLE COLORADO MEDICAL CENTER,"1501 NORTH WILLIAMSON AVENUE,WINSLOW,NAVAJO,AZ",AZ,217590
SANTA CRUZ,HOLY CROSS HOSPITAL,"1171 WEST TARGET RANGE ROAD,NOGALES,SANTA CRUZ,AZ",AZ,105724
GILA,COBRE VALLEY REGIONAL MEDICAL CENTER,"5880 SOUTH HOSPITAL DRIVE,GLOBE,GILA,AZ",AZ,12890
APACHE,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,"118 SOUTH MOUNTAIN AVENUE,SPRINGERVILLE,APACHE,AZ",AZ,143965
GILA,BANNER PAYSON MEDICAL CENTER,"807 SOUTH PONDEROSA DRIVE,PAYSON,GILA,AZ",AZ,12890
MARICOPA,PHOENIX CHILDREN'S HOSPITAL,"1919 EAST THOMAS ROAD,PHOENIX,MARICOPA,AZ",AZ,2527030
MARICOPA,BANNER BEHAVIORAL HEALTH HOSPITAL,"7575 EAST EARLL DRIVE,SCOTTSDALE,MARICOPA,AZ",AZ,2527030
MARICOPA,"ST. LUKE'S BEHAVIORAL HOSPITAL, LP","1800 EAST VAN BUREN,PHOENIX,MARICOPA,AZ",AZ,2527030
MARICOPA,HAVEN BEHAVIORAL HOSPITAL OF PHOENIX,"1201 SOUTH 7TH AVENUE, SUITE 200,PHOENIX,MARICOPA,AZ",AZ,2527030
MARICOPA,ARIZONA STATE HOSPITAL,"2500 EAST VAN BUREN STREET,PHOENIX,MARICOPA,AZ",AZ,2527030
PIMA,SONORA BEHAVIORAL HEALTH HOSPITAL,"6050 NORTH CORONA ROAD,TUCSON,PIMA,AZ",AZ,439782
MARICOPA,AURORA BEHAVIORAL HEALTH SYSTEM,"6015 WEST PEORIA  AVENUE,GLENDALE,MARICOPA,AZ",AZ,2527030
YAVAPAI,WINDHAVEN PSYCHIATRIC HOSPITAL,"3347 NORTH WINDSONG DRIVE,PRESCOTT VALLEY,YAVAPAI,AZ",AZ,43648
MARICOPA,VALLEY HOSPITAL,"3550 EAST PINCHOT AVENUE,PHOENIX,MARICOPA,AZ",AZ,2527030
NAVAJO,CHANGEPOINT PSYCHIATRIC HOSPITAL,"1920 WEST COMMERCE DRIVE,LAKESIDE,NAVAJO,AZ",AZ,217590
MARICOPA,AURORA BEHAVIORAL HEALTHCARE-TEMPE,"6350 SOUTH MAPLE AVENUE,TEMPE,MARICOPA,AZ",AZ,2527030
MARICOPA,OASIS BEHAVIORAL HEALTH HOSPITAL,"2190 NORTH GRACE BOULEVARD,CHANDLER,MARICOPA,AZ",AZ,2527030
PIMA,PALO VERDE BEHAVIORAL HEALTH,"2695 NORTH CRAYCROFT ROAD,TUCSON,PIMA,AZ",AZ,439782
MARICOPA,QUAIL RUN BEHAVIORAL HEALTH,"2545 WEST QUAIL AVENUE,PHOENIX,MARICOPA,AZ",AZ,2527030
MARICOPA,"COPPER SPRINGS HOSPITAL, LLC","10550 WEST MCDOWELL ROAD,AVONDALE,MARICOPA,AZ",AZ,2527030
PIMA,CORNERSTONE BEHAVIORAL HEALTH EL DORADO,"1400 NORTH WILMOT ROAD,TUCSON,PIMA,AZ",AZ,439782
BENTON,SILOAM SPRINGS REGIONAL HOSPITAL,"603 NORTH PROGRESS AVENUE,SILOAM SPRINGS,BENTON,AR",AR,266605
JOHNSON,JOHNSON REGIONAL MEDICAL CENTER,"1100 EAST POPLAR STREET,CLARKSVILLE,JOHNSON,AR",AR,363983
WASHINGTON,WASHINGTON REGIONAL MEDICAL CENTER,"3215 N NORTH HILLS BOULEVARD,FAYETTEVILLE,WASHINGTON,AR",AR,711487
PULASKI,CHI-ST VINCENT INFIRMARY,"TWO ST VINCENT CIRCLE,LITTLE ROCK,PULASKI,AR",AR,160364
BENTON,MERCY HOSPITAL NORTHWEST ARKANSAS,"2710 SOUTH RIFE MEDICAL LANE,ROGERS,BENTON,AR",AR,266605
YELL,CHAMBERS MEMORIAL HOSPITAL,"719 DETROIT STREET,DANVILLE,YELL,AR",AR,27854
WHITE,WHITE COUNTY MEDICAL CENTER,"3214 EAST RACE AVENUE,SEARCY,WHITE,AR",AR,39933
POLK,MENA REGIONAL HEALTH SYSTEM,"311 NORTH MORROW STREET,MENA,POLK,AR",AR,678790
PULASKI,UAMS MEDICAL CENTER,"4301 WEST MARKHAM STREET MAIL SLOT 612,LITTLE ROCK,PULASKI,AR",AR,160364
BOONE,NORTH ARKANSAS REGIONAL MEDICAL CENTER,"620 NORTH MAIN STREET,HARRISON,BOONE,AR",AR,147482
ST. FRANCIS,FORREST CITY MEDICAL CENTER,"1601 NEWCASTLE ROAD,FORREST CITY,ST. FRANCIS,AR",AR,54001
WASHINGTON,NORTHWEST MEDICAL CENTER-SPRINGDALE,"609 WEST MAPLE AVENUE,SPRINGDALE,WASHINGTON,AR",AR,711487
GARLAND,ST VINCENT HOT SPRINGS,"300 WERNER STREET,HOT SPRINGS,GARLAND,AR",AR,18647
BAXTER,BAXTER REGIONAL MEDICAL CENTER,"624 HOSPITAL DRIVE,MOUNTAIN HOME,BAXTER,AR",AR,1364
FAULKNER,CONWAY REGIONAL HEALTH SYSTEM,"2302 COLLEGE AVENUE,CONWAY,FAULKNER,AR",AR,25858
PULASKI,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,"3333 SPRINGHILL DRIVE,NORTH LITTLE ROCK,PULASKI,AR",AR,160364
GREENE,ARKANSAS METHODIST MEDICAL CENTER,"900 WEST KINGSHIGHWAY,PARAGOULD,GREENE,AR",AR,127249
POPE,ST MARYS REGIONAL MEDICAL CENTER,"1808 WEST MAIN STREET,RUSSELLVILLE,POPE,AR",AR,25261
RANDOLPH,FIVE RIVERS MEDICAL CENTER,"2801 MEDICAL CENTER DRIVE,POCAHONTAS,RANDOLPH,AR",AR,146788
OUACHITA,OUACHITA COUNTY MEDICAL CENTER,"638 CALIFORNIA AVENUE,CAMDEN,OUACHITA,AR",AR,1496
DREW,DREW MEMORIAL HOSPITAL,"778 SCOGIN DRIVE,MONTICELLO,DREW,AR",AR,3556
SEBASTIAN,BAPTIST HEALTH - FORT SMITH,"1001 TOWSON AVENUE,FORT SMITH,SEBASTIAN,AR",AR,22810
SEBASTIAN,MERCY HOSPITAL FORT SMITH,"7301 ROGERS AVE,FORT SMITH,SEBASTIAN,AR",AR,22810
MISSISSIPPI,GREAT RIVER MEDICAL CENTER,"1520 N DIVISION STREET,BLYTHEVILLE,MISSISSIPPI,AR",AR,15812
JEFFERSON,JEFFERSON REGIONAL MEDICAL CENTER,"1600 WEST 40TH AVENUE,PINE BLUFF,JEFFERSON,AR",AR,1068891
ARKANSAS,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,"1703 NORTH BUERKLE ST,STUTTGART,ARKANSAS,AR",AR,1823
PULASKI,NORTH METRO MEDICAL CENTER,"1400 BRADEN STREET,JACKSONVILLE,PULASKI,AR",AR,160364
HOT SPRING,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,"1001 SCHNEIDER DRIVE,MALVERN,HOT SPRING,AR",AR,24431
GARLAND,NATIONAL PARK MEDICAL CENTER,"1910 MALVERN AVENUE,HOT SPRINGS,GARLAND,AR",AR,18647
SALINE,SALINE MEMORIAL HOSPITAL,"#1 MEDICAL PARK DRIVE,BENTON,SALINE,AR",AR,88009
